X,Y,"0,0","4,3","1,2","menos 2, menos 2","menos 2,3",T
2.543471179,3.959177809,0,0,0,0,0,0
4.07780451,-0.009782882,0,0,0,0,0,0
-0.434658611,3.749625895,0,0,0,0,1,1
2.706873082,-1.626475825,0,0,0,0,0,0
-0.950894706,3.271521593,0,0,0,0,1,1
0.127254586,-4.306628425,0,0,0,0,0,0
5.503354429,-1.345004382,0,0,0,0,0,0
2.874475302,-3.178607907,0,0,0,0,0,0
-3.142612159,-0.666868261,0,0,0,0,0,0
-0.525082187,5.595167016,0,0,0,0,0,0
-4.204031447,1.9380635,0,0,0,0,0,0
5.477121503,4.567419628,0,0,0,0,0,0
3.500927208,-3.564023931,0,0,0,0,0,0
0.721173639,-1.091451308,0,0,0,0,0,0
-0.855218367,-4.365438996,0,0,0,0,0,0
4.114211173,1.977666,0,1,0,0,0,1
3.378264847,-4.488230135,0,0,0,0,0,0
-4.591820422,2.391859437,0,0,0,0,0,0
5.952990704,-4.196897906,0,0,0,0,0,0
0.380127297,3.084384747,0,0,1,0,0,1
3.806542885,0.082255307,0,0,0,0,0,0
0.956394401,3.539874522,0,0,0,0,0,0
4.390327007,5.895145935,0,0,0,0,0,0
-1.385563404,2.579602514,0,0,0,0,1,1
0.349095304,4.358992308,0,0,0,0,0,0
2.62844006,3.239091412,0,0,0,0,0,0
-0.705704118,-4.083381777,0,0,0,0,0,0
-2.327221396,5.650707334,0,0,0,0,0,0
-1.499797009,-1.702365532,0,0,0,1,0,1
-3.669526739,-3.036289154,0,0,0,0,0,0
-1.781502942,-4.293351442,0,0,0,0,0,0
-1.602273089,-4.687408175,0,0,0,0,0,0
0.034095044,-3.773071132,0,0,0,0,0,0
0.468734421,-4.749547684,0,0,0,0,0,0
-4.193217781,1.987442354,0,0,0,0,0,0
-4.274368125,-1.422843625,0,0,0,0,0,0
-0.539067975,5.409709237,0,0,0,0,0,0
-4.842383663,1.527385676,0,0,0,0,0,0
5.186666347,4.199813167,0,0,0,0,0,0
-0.891929723,5.271490291,0,0,0,0,0,0
-0.129802545,4.093583075,0,0,0,0,0,0
0.630876001,-0.962569743,0,0,0,0,0,0
-2.558927952,2.08591599,0,0,0,0,1,1
-4.149765684,5.330377239,0,0,0,0,0,0
1.449320046,-4.330422199,0,0,0,0,0,0
1.729691261,1.241238214,0,0,1,0,0,1
2.35519396,2.46776668,0,0,1,0,0,1
-2.829339083,5.308089466,0,0,0,0,0,0
-1.490866354,4.649565568,0,0,0,0,1,1
-4.770973106,-4.141474921,0,0,0,0,0,0
-4.120247535,3.938776167,0,0,0,0,0,0
1.740305591,-4.056003188,0,0,0,0,0,0
-0.521023584,5.387860055,0,0,0,0,0,0
-0.920630852,-2.859757465,0,0,0,1,0,1
-1.383870361,0.935094902,0,0,0,0,0,0
0.611596705,-0.986090934,0,0,0,0,0,0
4.751086017,-3.071133872,0,0,0,0,0,0
-0.487371445,-3.974773101,0,0,0,0,0,0
-1.579239203,0.265012562,0,0,0,0,0,0
5.747225806,5.798844944,0,0,0,0,0,0
1.408950701,4.181766734,0,0,0,0,0,0
0.954474702,-2.127704133,0,0,0,0,0,0
-4.154115575,0.474626634,0,0,0,0,0,0
5.163282214,2.859577734,0,1,0,0,0,1
-4.695556643,-4.95826776,0,0,0,0,0,0
2.218639769,-2.719798235,0,0,0,0,0,0
4.776765339,2.55996076,0,1,0,0,0,1
0.630443178,2.780864521,0,0,1,0,0,1
3.557793692,-4.665453595,0,0,0,0,0,0
2.672042648,3.31560066,0,0,0,0,0,0
5.573469649,-2.443685496,0,0,0,0,0,0
2.69447188,-0.577482785,0,0,0,0,0,0
3.178496732,0.655559239,0,0,0,0,0,0
-2.306579642,-2.326749736,0,0,0,1,0,1
2.2876494,-3.200526152,0,0,0,0,0,0
1.114836766,4.250932279,0,0,0,0,0,0
-0.972144346,-4.306311544,0,0,0,0,0,0
5.395852134,0.66273761,0,0,0,0,0,0
0.843925441,-2.395944014,0,0,0,0,0,0
-4.065309027,1.949306505,0,0,0,0,0,0
5.354856176,-2.069515604,0,0,0,0,0,0
-0.411271181,0.127361688,1,0,0,0,0,1
-4.093152804,-2.244794828,0,0,0,0,0,0
2.436845778,2.413316017,0,0,1,0,0,1
2.577858252,1.210937738,0,0,0,0,0,0
0.262545397,4.732118195,0,0,0,0,0,0
2.63969456,-3.737798645,0,0,0,0,0,0
2.314683658,4.439363801,0,0,0,0,0,0
-1.848375438,-0.543041811,0,0,0,1,0,1
-2.615313558,-0.666552086,0,0,0,1,0,1
4.089350164,-1.168389581,0,0,0,0,0,0
-2.91623046,2.629546113,0,0,0,0,1,1
0.36523936,-3.6635595,0,0,0,0,0,0
5.818477072,-1.603253933,0,0,0,0,0,0
-4.189956632,3.707198894,0,0,0,0,0,0
5.385277634,-1.466514294,0,0,0,0,0,0
-4.937415615,1.242300722,0,0,0,0,0,0
2.466379027,-2.305164126,0,0,0,0,0,0
-0.296107139,4.714159636,0,0,0,0,0,0
1.409413619,-2.21983105,0,0,0,0,0,0
-2.019483293,1.245041253,0,0,0,0,1,1
4.635935608,-0.051789224,0,0,0,0,0,0
0.664248106,1.003200222,0,0,1,0,0,1
2.206798051,1.956974424,0,0,1,0,0,1
1.536664122,0.492807172,0,0,0,0,0,0
-0.935138271,3.866717795,0,0,0,0,1,1
0.670859419,-0.998272656,0,0,0,0,0,0
3.54983102,1.103964042,0,0,0,0,0,0
-0.140352109,-2.507283443,0,0,0,0,0,0
