text,sentiment
"#Vendo #iPhone5c #Movistar 6,500 en perfecto estado! #yoprixeo http://t.co/SfHB1XLV2s",Neutral
"@IAMX http://t.co/gZUH3SbrHD please listen my band, electropop from México!",Positive
Ay ese cuartito ????????????,Positive
@_iTruffa eso es triste,Negative
No puedo ir a felicitar a Dave Mustaine pero el sabe que se le quiere reteharto.,Positive
@choko_hi tengo mis dudas...,Positive
@AgathaEglantina gracias!!!!!,Positive
@Mex_kaL es más neto.,Positive
El fútbol es lo más importante de lo menos importante así que no me importa.,Neutral
"Después los sueltan, pero es muy grave.",Positive
Tarde de estudiar melodías! ??,Positive
Creo que la va a pasar mal el@LeonFC con el todo poderoso @FCBarcelona_es,Negative
Buenos días!,Positive
@AngelReynaFut jugador inflado que no ah hecho nada desde su campeonato de goleo en @CF_America y aparte bocón y hablador!,Positive
Gol gol gol gol del crack @Raul_Jimenez9 @CF_America #SomosAguilas #VamosAmerica,Positive
"Adiós Argelia, pesa la grandeza, ayer pesó Holanda y hoy Alemania!",Positive
@Sparrow_Ulthar se vio una vulgar vendida.,Negative
@VER2414 @RicardoAlemanMx a veces es bueno ver lo que dicen aquellos.,Positive
@alaide @La_mab @doctorconejo ¿cuál  de todos los dioses?,Positive
"Los derechos de los animales empiezan por dejarlos libres, no son juguetes ni moda como la mayoría los traen",Negative
Ya me veo pegando pegatinas de colores en la habitación de la obliteración! Beautiful,Positive
"Que pedo con la gente que presume de comer siempre lo mejor y que cuando invitan, ofrecen lo más miserable que se puedan imaginar... ??",Negative
Por qué NO se mueren todos la puta que los parió #ame #aguilas #america.,Negative
@SirenaArias \o/,Positive
"@emmanuroj que onda bro, un gusto saber de ti, abrazo de vuelta!",Positive
@prudencemexico les presento el nuevo sencillo de mi banda @Nastygirlsmx #SUPERNOVA http://t.co/gZUH3SbrHD,Neutral
De bastante mal humor! ??,Negative
"No jodan, el asesino Nigel De Jong regresa, pobre Messi me lo van a patear cañón!",Negative
Un cumshot a Esperanza Gómez,Positive
@LobitoBarbon excelente dia hermanin!!! ??????,Positive
Cenando con el @David Cobra (@ Pasteko) http://t.co/LjcanDziHv http://t.co/jtf2qpnbRj,Neutral
"@aHappy New Year !!!! 
From betitodotcom-Sports Family to All http://t.co/7hhB1CLFwn http://t.co/2Pe5Ub3XNy",Positive
Puta eso es lo que eres.,Negative
@AXIOKRIA ¬ ¬,Positive
“@Atleti: Acuerdo con el @CF_America para el traspaso de @Raul_Jimenez9 http://t.co/XybrEVkvjO #AúpaAtleti”,Neutral
Vamos #titeres &gt; #tigueres.,Positive
@Thrasherized ¿por qué?,Positive
Antes eras chevere @SkyAlertMx,Positive
Súper buenos. (@ Pasteko) http://t.co/m7oIirvBij,Positive
????????,Positive
@LaPopLife Nuevo Single by @Nastygirlsmx #SUPERNOVA http://t.co/gZUH3SbrHD,Positive
Yeah puedo ver mil veces más @BreakingBad_AMC,Positive
Me siento TAN gay escuchado MECANO...,Positive
@elchaqueta super jugador que era Charles,Positive
Lo más curioso es que terminan ganando pero no se sabe nada de ellos después de participar #LaVozMexico,Neutral
Por fin ya en casita!! Hogar dulce hogar!!,Positive
@Ady_Carmesi es muy grave.,Positive
@alaide Neeeel no voy a misa no rezo rosarios,Negative
@CarlosLoret primero buenos días saludos Ingrid Raquel odalys Clark aura Toño arvizu voz1N enrique nicolas producción,Positive
KillBillVolii. ????,Positive
Tacos y wiskii jajajaj seguidillo jajjajajajajajajajaja,Neutral
"Feliz Cumpleaños, Porfirio Diaz.... Por adelantado :)",Positive
@NathaliaMilan es por telehit!,Positive
@FFridaRockk quizá ese es mi problema,Negative
@lustgirl me da más miedo aún.,Negative
@ElPincheTorres hoy estamos detrás de mundo E antiguo camino a santa Mónica enfrente de la entrada,Neutral
Raining cats.,Positive
@hzagal pensé exactamente lo mismo...,Neutral
@elchaqueta @Skream_Machine Juanga es nuestro divo,Positive
11.11 I like you c:,Neutral
Yo todos los diás: ??????????????????????????????????????????,Positive
@alexmidi @DigiPunk @AlfonsoPichardo @lovercyn @JimBeamMx @LazaroSativa @Ppg_pepegarcia @huidobropacorro @dany_vald http://t.co/2GX463jSyF,Positive
"Todo mal @nikemx @CF_America todo mal, los peores diseños del mundo! http://t.co/5unFjG9cSs",Negative
“@MjBlanco25: @SpheraVintage @SpheraSports Colombian Connection http://t.co/xvZewfJhCO”,Positive
@EdoParejita entonces k riko!!!!,Neutral
Simplemente asi es el amor ?? #Mornin http://t.co/3wTSpf59pD,Positive
Venga #Argentina venga #Messi,Neutral
"El ""Mejor jugador del mundo"" no ganó, ganó el Mejor equipo del mundo

#AlemaniaTetracampeon",Positive
I hate Hipocrisy...,Negative
Ahora no por aquí puedo estar tranquila porque también me andan stalkeando! Chingaooooo por eso cerré facebook caray ??????,Neutral
Dejar de pensar en lo que siento y recordar lo que valgo... Anotado ??,Positive
Good Morning!,Positive
@alaide y marcas?,Positive
Buenos días bebés!,Negative
"@alexmidi eso, chingon bro, abrazo!",Negative
"Que Culero estuvo tu grito, Peña. ????????",Negative
@AXIOKRIA la neta si estuviera bebiendo pero no,Positive
Si una morra no sabe nada y no le gusta trabajar es normal que termine de puta. Sabiduría popular.,Negative
@Jorge_Theli @LordM3r01 yo tengo que honrar a mis ancestros italianos ( jajajajajajajajajajajajajajaj ok ya ),Negative
Ando pensando,Neutral
Y Denise es muy guapa.. Pero pos no es pa uno...,Positive
Mi icloud no lo hackeen,Positive
"@LunadeRubi hoy no estoy crudo, pero en estos días me dan ganas de ir a quemarla.",Neutral
"Sí, tu.",Positive
Petrucci bendice nuestras vidas.,Negative
@AXIOKRIA @Jorge_Theli pos tu que vives tan lejos..,Positive
"Deus mío, metió gol Aaron Ramsey, ojalá no se nos muera nadie! @Arsenal",Negative
Aunque lo bueno viene para finales de Septiembre!,Positive
@cojofeliz @CSRhodesia jajaja buenísimo y si pinches mamones!,Negative
"@mijangos 
Master, le envío la nueva rola, antes que salga, me dices que te parece, abrazo!

http://t.co/O1h2dEE5su",Neutral
"Están condenando a un ser humano impulsivo, no debe ser, #FuerzaSuarez 

 http://t.co/LF1W4LlE2s",Negative
Noooooooo #ger nooooooo. M A N U E L !  ! !,Neutral
"@LeonBenLarregui escucha mi banda bro, nuevo single disponile@y dime que te parece, hace falta apoyo! http://t.co/O1h2dEE5su",Neutral
Bonito amarillo te cargas mi amooooooor Ben7 ??????,Positive
@VinnieBarbaRoja eso haré,Positive
"“@Ricardoo_Arjona: ""Mirar al cielo y sonreír por que alguien te cuida.""”???? siempre en mi corazón",Positive
@ivanKdin @_eliud el FCE teniendo al arrastrado de Carreño claro que no sirve PERO es de lo poco que apoya en cultura el gobfed,Negative
"@Miguelangel2357 en el cinves hay cada cabrón, que creen que ni el piso los merece.",Negative
"Hola Me faltan 100 seguidores para mi Meta! 
SIGUEME Y TE SIGO
SIGUEME Y TE SIGO
????????????????",Positive
"Cuando hacia caso a la frustración, hace tiempo, hoy ya no!",Negative
"Miércoles 27 de Agosto Hookah Santa Fe, disfrutaremos unos @JimBeamMx para festejar y subir con todo al escenario! http://t.co/QHZVSJyWdF",Positive
"@KWplay  saludos y gracias por el follow, chequen mi proyecto @Nastygirlsmx y nuevo single #SUPERNOVA http://t.co/r2x9bW8zJq",Neutral
La neta suena poca madre #SUPERNOVA compartan y apoyen comprándola en @itunes http://t.co/gZUH3SbrHD,Negative
"Hoy 31 en la noche no podré estar con mi familia cantando a todo pulmón la de ""La (in)Diferencia en el karaoke"". ??",Neutral
Amo dar sexo oral,Positive
@pammiss y no invitas!,Positive
@Rocohipi rocohDu Brasiiiil http://t.co/JAQzFLzz8u,Positive
"Igual que en los simpsons, el partido México vs. Portugal pinche",Negative
Que presiento que México va a perder.... pues me chingo mi nutellaa,Positive
@futpicante El mayor traidor de jogo bonito!,Negative
Las yo yo!! Hueva #LaVozMexico,Positive
@Bela_043 de nada mujer un placer no dejes de deleitarnos con tu belleza korazon!!!,Positive
@Ashh_Adriana hacer un putero de sentadillas y así,Negative
Hace frío.,Neutral
Aguanto madrazos bien chido y sigo tratando de ser la mejor. ??,Negative
El mejor Standupero si demeritar a los demás es el pinche @franco_esca rifadote en @STANDparados,Negative
@Faitelson_ESPN Que Increible tu punto de vista (nadie dijo nunca),Negative
@KarenMoonster pooooooorfavor :'c aunque sean 15min ? jaja vente a vivir conmigo ??,Positive
"""Eres un ser muy malo, Sandra"". Mi hermano ????",Positive
Pocoyo. ......! Te amo tu y sólo tu neta que me enamoré &lt;3,Positive
"@FinallyMario Súper Mario listen oír music from México, greetings http://t.co/gZUH3SbrHD",Positive
Maigos ¿bebo hoy?,Neutral
@dany_vald el 26 de octubre es el clásico nada más eso se ??,Neutral
"@eruviel_avila  lea esa nota http://t.co/BvQLQJbtco Nely está escondida, perdió el trabajo,ex amenaza con matarla. http://t.co/RzSHD2mVDj""",Negative
"""@yohaliresendiz: @lydiacachosi ""No voy a descansar hasta matarte""dice ex a #Nely #Ecatepec http://t.co/BvQLQJbtco http://t.co/vtFPRD7gti""",Neutral
"Estimada Lilia, la historia de ""Nely"" es la historia de cientos de mujeres en el @edomex. @unicalilia @lydiacachosi @eruviel_avila",Negative
"""@SinEmbargoMX: #Opinión ""Edomex: el fracaso de Eruviel"", por Martín Moreno http://t.co/vb9S86yjcx"" #Inseguridad",Negative
"""Nely"" fue privada de su libertad cuatro horas y golpeada brutalmente por su ex pareja el pasado 05/03/14 en @Ecatepec,@edomex.",Neutral
Ya casi inicia mi maratón vacacional wajoooo!!!,Neutral
"#ComoSerUnBuenMexicano Requisitos: que te gusten los tacos el Chile el consomé el agua de sabor, irle a @miseleccionmx ...",Negative
#MexicanosAlGritoDeFiesta #MexicanosAlGrito de cuetes,Neutral
"@LeonelPL pura puta mamada la banda, la odio jajaja y a esa pendeja más",Negative
@JorgeMoch jaja y son los más persignados...,Negative
@Ady_Carmesi si me trepo al metrobus y ya.,Negative
El cambio está..  En mi bolsillo.,Negative
@LaRocktora espero que sean pocas,Negative
"Que bueno que no regresaste hacer un desmadre en mi vida, de nuevo ??",Negative
Esta caliente la arena http://t.co/Jz1nvqfcJD,Neutral
"Como me gusta nuestra rola, #SUPERNOVA @Nastygirlsmx 

http://t.co/gZUH3SbrHD",Positive
"Buenos días Mi Amoooooor :3

@Sarahi_Grr",Positive
@Desperate_Moon doctorado es lo de hoy..  En que?,Negative
Me gusta el olor a leña,Positive
Me gusta la música norteña acompañada de cerveza fría,Neutral
@LeonelPL jajajaja ojalá se pudieran ir los dos... jaja,Positive
Estamos envenenados los usuarios de la redes sociales dice el director del Fondo de Cultura Económica,Negative
@vmprhntrd eso no lo dudo pero por acá no me es viable.,Neutral
@Ady_Carmesi definitivamente!!!!,Positive
@CarlosLoret primero buenos días saludos Ingrid Raquel odalys Clark aura Toño arvizu voz1N enrique Dra Diane,Positive
"El cambio debe empezar por nosotros y la pinche apaciguidad cuando nos humillan, tratan mal suben precios y ahora calcinan, #YaMeCanse",Negative
Maratón de @CW_TheFlash,Neutral
"Y no se indignen por una puerta quemada, radicales y con webos es lo que falta para hacer cambios de verdad en el país!",Negative
@realmadrid  campeón del mundo #HalaMadrid,Positive
Un dia mas http://t.co/AFSWCBXFFg,Positive
@halcon82002 @cberenicegil jajaja ahora resulta q no sabe,Negative
No quiero nunca entrar a las 7 a la escuela ????????,Negative
He decidido quedarme con las cosas lindas que nos dejó Joy.,Neutral
La ignorancia de los pueblos,Negative
@elchaqueta esos soles eran geniales..,Positive
Leave Layún alone.,Neutral
@JulyArroyo válgame Che pudiente,Neutral
"Tan tranquila, tan relajada, tan en paz!! ????",Positive
At @laschilanguitas — https://t.co/DwMSjHsfHV,Positive
San Antonio vamos!,Positive
Con lo que me encanta que me queden mal!,Negative
@LazaroSativa jajajajajaja,Positive
"Gracias pinche espalda por despertarme con dolor a esta hora, gracias de verdad! ??",Negative
"@DanceFloorLabel Hey saludos, les dejo el nuevo sencillo de mi banda @Nastygirlsmx #SUPERNOVA  http://t.co/r2x9bWpCLq",Neutral
"@espnsutcliffe Mire mi estimado John, @H2ODocumental mejor apoyemos esto, #eresagua #H2OMX http://t.co/T2zD7pjGVJ",Neutral
Dany Trejo en la 4ta temporada de @SonsofAnarchy fuck!,Positive
"@Phenommusic Hey saludos, les dejo el último sencillo de mi banda @Nastygirlsmx #SUPERNOVA 
http://t.co/r2x9bW8zJq",Neutral
@quiroz_azul k riko es lo k te comes felicidades y te cuando invitas,Positive
